,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
94,"(0.7510383129119873, 0.4552622437477112, -0.2998705804347992, 0.9999994039535522)","(0.7588127851486206, 0.446003794670105, -0.25908905267715454, 0.9999983906745911)","(0.758051872253418, 0.44566160440444946, -0.2590595781803131, 0.9999978542327881)","(0.7569320201873779, 0.4451249837875366, -0.25900810956954956, 0.9999977350234985)","(0.7552498579025269, 0.44352665543556213, -0.31410321593284607, 0.9999991059303284)","(0.7522529363632202, 0.4414424002170563, -0.31411612033843994, 0.9999988675117493)","(0.7483008503913879, 0.4389118254184723, -0.31411924958229065, 0.9999987483024597)","(0.7349297404289246, 0.4383215010166168, -0.05019531771540642, 0.9999933838844299)","(0.7193438410758972, 0.4292788803577423, -0.3048052489757538, 0.9999990463256836)","(0.7328998446464539, 0.459627628326416, -0.2186642289161682, 0.9999978542327881)","(0.7287556529045105, 0.45702457427978516, -0.29287391901016235, 0.9999990463256836)","(0.6597219705581665, 0.4843534529209137, 0.1519908756017685, 0.9999927878379822)","(0.5930827260017395, 0.4399276673793793, -0.32418644428253174, 0.9999988079071045)","(0.6256270408630371, 0.5421314835548401, 0.26887667179107666, 0.7258879542350769)","(0.4500979781150818, 0.4530579447746277, -0.4077802896499634, 0.9989020824432373)","(0.7326757311820984, 0.5540527701377869, 0.1596691906452179, 0.9755738973617554)","(0.34830284118652344, 0.4741078317165375, -0.5191609263420105, 0.9985671639442444)","(0.7641205191612244, 0.5550212860107422, 0.1590539962053299, 0.9598941802978516)","(0.3097560703754425, 0.47805365920066833, -0.5614833831787109, 0.9960932731628418)","(0.7727855443954468, 0.5473498702049255, 0.11661037802696228, 0.9661454558372498)","(0.3130528926849365, 0.48215025663375854, -0.5904802680015564, 0.9964126944541931)","(0.7608564496040344, 0.5452949404716492, 0.13684381544589996, 0.9598202705383301)","(0.3277113139629364, 0.48242056369781494, -0.5319101810455322, 0.9945049285888672)","(0.5241228342056274, 0.5933659672737122, 0.15238502621650696, 0.9998420476913452)","(0.46525833010673523, 0.5793978571891785, -0.15259243547916412, 0.9997789859771729)","(0.49924761056900024, 0.6914575099945068, 0.13783380389213562, 0.9563111662864685)","(0.41168907284736633, 0.680750846862793, -0.10462967306375504, 0.9962740540504456)","(0.5192530751228333, 0.7923477292060852, 0.21339519321918488, 0.9811895489692688)","(0.2719113826751709, 0.714607834815979, 0.16789226233959198, 0.9902341365814209)","(0.5050394535064697, 0.8091994524002075, 0.2122618854045868, 0.9158672094345093)","(0.24536508321762085, 0.7110417485237122, 0.18905015289783478, 0.9106871485710144)","(0.5970651507377625, 0.8095435500144958, 0.09044485539197922, 0.9820199608802795)","(0.25459223985671997, 0.7691415548324585, 0.05990063026547432, 0.9869958162307739)"
95,"(0.7519423365592957, 0.454751580953598, -0.28268876671791077, 0.999999463558197)","(0.7590497732162476, 0.44531330466270447, -0.24145498871803284, 0.9999985098838806)","(0.7582348585128784, 0.4449235200881958, -0.24143363535404205, 0.9999979734420776)","(0.7570634484291077, 0.4443589448928833, -0.24137409031391144, 0.9999978542327881)","(0.7554894089698792, 0.4429895281791687, -0.29584836959838867, 0.9999991655349731)","(0.7524754405021667, 0.44098976254463196, -0.29585519433021545, 0.999998927116394)","(0.7484900951385498, 0.4385404884815216, -0.29585495591163635, 0.9999988079071045)","(0.7349435687065125, 0.4377809762954712, -0.03178851678967476, 0.9999936819076538)","(0.7194777131080627, 0.42909231781959534, -0.28360414505004883, 0.9999991059303284)","(0.7339001893997192, 0.45913538336753845, -0.20137684047222137, 0.9999979734420776)","(0.7299060821533203, 0.4567095935344696, -0.27471840381622314, 0.9999991059303284)","(0.6598523855209351, 0.48455116152763367, 0.1662900596857071, 0.999993085861206)","(0.5934109687805176, 0.439919650554657, -0.30783045291900635, 0.9999988675117493)","(0.6277931332588196, 0.5432118773460388, 0.26363733410835266, 0.7339832186698914)","(0.4499387741088867, 0.4530869126319885, -0.4012591540813446, 0.9989452362060547)","(0.7377249598503113, 0.5562735199928284, 0.12299548834562302, 0.9767414927482605)","(0.3475019931793213, 0.4757159948348999, -0.5156617760658264, 0.9986230731010437)","(0.7695087194442749, 0.5570139288902283, 0.11703617870807648, 0.9614251852035522)","(0.3096362352371216, 0.4795696437358856, -0.5564754605293274, 0.9962190389633179)","(0.7767515182495117, 0.5492826700210571, 0.07692651450634003, 0.9674564599990845)","(0.31297290325164795, 0.4835716784000397, -0.5878172516822815, 0.9965264797210693)","(0.7654532194137573, 0.5474334359169006, 0.10011208057403564, 0.9613168835639954)","(0.3276498317718506, 0.4837806522846222, -0.5289849042892456, 0.9946758151054382)","(0.5239643454551697, 0.5933668613433838, 0.1524505615234375, 0.9998476505279541)","(0.46496522426605225, 0.5793783068656921, -0.15266311168670654, 0.9997879862785339)","(0.49896296858787537, 0.691483736038208, 0.13739322125911713, 0.9564833641052246)","(0.4117119610309601, 0.6807736158370972, -0.1107519343495369, 0.9963571429252625)","(0.5188953280448914, 0.7925035357475281, 0.20137423276901245, 0.9813090562820435)","(0.2720302641391754, 0.7145811319351196, 0.1653202772140503, 0.9902176856994629)","(0.5045596957206726, 0.8094755411148071, 0.19878260791301727, 0.9165552854537964)","(0.2456841915845871, 0.7109771370887756, 0.18530069291591644, 0.9109969735145569)","(0.5972594022750854, 0.8095417022705078, 0.07823234796524048, 0.9821780323982239)","(0.25459226965904236, 0.7691433429718018, 0.05747371166944504, 0.987042248249054)"
96,"(0.7523061037063599, 0.4547523260116577, -0.2667149007320404, 0.9999995231628418)","(0.7592592835426331, 0.4452979862689972, -0.22585737705230713, 0.9999985694885254)","(0.7583829164505005, 0.44489210844039917, -0.2258378118276596, 0.9999980926513672)","(0.7571529150009155, 0.4443063735961914, -0.22577089071273804, 0.9999979734420776)","(0.7557709217071533, 0.4430006742477417, -0.2805183231830597, 0.9999992251396179)","(0.7527714967727661, 0.4410015344619751, -0.28052449226379395, 0.9999989867210388)","(0.7488248944282532, 0.4385496973991394, -0.2805306911468506, 0.9999988675117493)","(0.7349333167076111, 0.43763649463653564, -0.01850614883005619, 0.9999939799308777)","(0.7196388840675354, 0.42909297347068787, -0.2716551721096039, 0.9999991655349731)","(0.7341105937957764, 0.4591112434864044, -0.18636047840118408, 0.9999980926513672)","(0.7302501201629639, 0.45670926570892334, -0.2600555419921875, 0.9999991655349731)","(0.6598793268203735, 0.4848695993423462, 0.17547595500946045, 0.9999933838844299)","(0.5935949683189392, 0.43988320231437683, -0.29778963327407837, 0.999998927116394)","(0.6298531889915466, 0.5438579320907593, 0.26101991534233093, 0.7414777278900146)","(0.44986820220947266, 0.4531353712081909, -0.39425164461135864, 0.9989832043647766)","(0.7397834658622742, 0.5578346848487854, 0.11110454052686691, 0.9777821898460388)","(0.34616923332214355, 0.476511150598526, -0.5054029226303101, 0.9986788034439087)","(0.7717148065567017, 0.5583298206329346, 0.1042979508638382, 0.9627758264541626)","(0.3087283968925476, 0.4800993800163269, -0.5450366735458374, 0.9963504672050476)","(0.7789909243583679, 0.5506089925765991, 0.06506611406803131, 0.9686123728752136)","(0.3114223778247833, 0.4840456545352936, -0.5762368440628052, 0.9966464042663574)","(0.7678677439689636, 0.5491029024124146, 0.08830239623785019, 0.9626402258872986)","(0.326476126909256, 0.48428359627723694, -0.5184878706932068, 0.9948537945747375)","(0.5239294767379761, 0.5933305621147156, 0.15253828465938568, 0.999853253364563)","(0.46487459540367126, 0.5792782306671143, -0.1527584046125412, 0.9997966885566711)","(0.4986867606639862, 0.6914739608764648, 0.1329074651002884, 0.9563238620758057)","(0.4117663502693176, 0.6807906031608582, -0.12127735465765, 0.9964233040809631)","(0.5186455249786377, 0.7927375435829163, 0.18206989765167236, 0.9813451170921326)","(0.27203789353370667, 0.7145230174064636, 0.15321122109889984, 0.990123987197876)","(0.5042204260826111, 0.8097918033599854, 0.17812615633010864, 0.9171706438064575)","(0.24569419026374817, 0.7109337449073792, 0.17455720901489258, 0.9111413359642029)","(0.5980811715126038, 0.8095220923423767, 0.058185987174510956, 0.9822673797607422)","(0.2545708417892456, 0.7691045999526978, 0.05348767340183258, 0.9870092868804932)"
97,"(0.7516648769378662, 0.45497867465019226, -0.22308550775051117, 0.9999995231628418)","(0.758708655834198, 0.4454428553581238, -0.18375253677368164, 0.9999986290931702)","(0.757847785949707, 0.4449990689754486, -0.18376941978931427, 0.999998152256012)","(0.7566367387771606, 0.44436514377593994, -0.18369875848293304, 0.9999980926513672)","(0.7553499937057495, 0.4432244598865509, -0.2370092123746872, 0.9999992847442627)","(0.752394437789917, 0.44125059247016907, -0.23700879514217377, 0.9999990463256836)","(0.7484833002090454, 0.4387741982936859, -0.23698613047599792, 0.999998927116394)","(0.734138011932373, 0.4376462697982788, 0.012885251082479954, 0.9999942183494568)","(0.7190141677856445, 0.4292106330394745, -0.23409052193164825, 0.9999992251396179)","(0.7328653335571289, 0.45937731862068176, -0.14742811024188995, 0.9999982118606567)","(0.7292284369468689, 0.4569738209247589, -0.21922190487384796, 0.9999992251396179)","(0.659869372844696, 0.4855100214481354, 0.17826113104820251, 0.9999938011169434)","(0.5926655530929565, 0.44010886549949646, -0.26331835985183716, 0.9999989867210388)","(0.6318288445472717, 0.5447412729263306, 0.20881138741970062, 0.7550393342971802)","(0.4499063193798065, 0.45318877696990967, -0.3741619288921356, 0.9989970922470093)","(0.7392262816429138, 0.5644463300704956, -0.020384246483445168, 0.9793012142181396)","(0.34686189889907837, 0.47714802622795105, -0.5041670799255371, 0.9987145066261292)","(0.7705990672111511, 0.5659568309783936, -0.04624605178833008, 0.965165376663208)","(0.309763640165329, 0.48043760657310486, -0.5425987243652344, 0.9964646697044373)","(0.7784681916236877, 0.559779703617096, -0.08995439857244492, 0.9706504344940186)","(0.31193289160728455, 0.484324187040329, -0.5747150182723999, 0.9967501759529114)","(0.7673000693321228, 0.5585311055183411, -0.04736759513616562, 0.9650014042854309)","(0.3268762230873108, 0.48472627997398376, -0.5163205862045288, 0.9950067400932312)","(0.5238519906997681, 0.5933329463005066, 0.15057100355625153, 0.999860405921936)","(0.46425968408584595, 0.5792491436004639, -0.15080079436302185, 0.999805212020874)","(0.49811282753944397, 0.6915291547775269, 0.11223464459180832, 0.9563933610916138)","(0.41238293051719666, 0.6808032393455505, -0.13040144741535187, 0.9965313076972961)","(0.5183418393135071, 0.7929381728172302, 0.13249221444129944, 0.9813187718391418)","(0.27216988801956177, 0.7145614624023438, 0.1113930493593216, 0.9900617599487305)","(0.5038259029388428, 0.8099966049194336, 0.12547625601291656, 0.9167993068695068)","(0.24585507810115814, 0.7110084295272827, 0.12928986549377441, 0.9101549386978149)","(0.5984660983085632, 0.8095141649246216, 0.004061018582433462, 0.982202410697937)","(0.25528064370155334, 0.7691080570220947, 0.014641283079981804, 0.9869188666343689)"
98,"(0.7510384917259216, 0.4551364779472351, -0.21471092104911804, 0.9999995231628418)","(0.7581840753555298, 0.44552522897720337, -0.17568525671958923, 0.9999986886978149)","(0.757350504398346, 0.44505566358566284, -0.17570623755455017, 0.9999982118606567)","(0.7561683058738708, 0.44439035654067993, -0.17563773691654205, 0.999998152256012)","(0.7549017071723938, 0.44335800409317017, -0.22922447323799133, 0.9999992847442627)","(0.7519702911376953, 0.44139912724494934, -0.22922304272651672, 0.9999991059303284)","(0.7480772137641907, 0.4389093518257141, -0.22919809818267822, 0.9999989867210388)","(0.733477771282196, 0.4376511573791504, 0.019527891650795937, 0.9999944567680359)","(0.7184752821922302, 0.42930343747138977, -0.22861923277378082, 0.9999992847442627)","(0.7319573163986206, 0.45955535769462585, -0.13955828547477722, 0.9999982714653015)","(0.7284083366394043, 0.45715034008026123, -0.21169400215148926, 0.9999992847442627)","(0.6598579287528992, 0.4858587384223938, 0.1808309108018875, 0.9999942183494568)","(0.5922056436538696, 0.44027912616729736, -0.2589191794395447, 0.9999990463256836)","(0.6330304145812988, 0.5450890064239502, 0.20366127789020538, 0.7673125267028809)","(0.4500051736831665, 0.4532593786716461, -0.36698785424232483, 0.9990115761756897)","(0.7388595938682556, 0.5663324594497681, -0.02333095297217369, 0.9806682467460632)","(0.3469557464122772, 0.47757381200790405, -0.49639469385147095, 0.9987477660179138)","(0.7699615359306335, 0.5680853128433228, -0.04852655902504921, 0.9673116207122803)","(0.31002485752105713, 0.48058924078941345, -0.5395957827568054, 0.9965695142745972)","(0.7781144976615906, 0.5622550249099731, -0.09255936741828918, 0.9724809527397156)","(0.31195417046546936, 0.4844300448894501, -0.5736575126647949, 0.9968453049659729)","(0.7668887972831726, 0.5611016750335693, -0.05036981776356697, 0.9671280980110168)","(0.3268868625164032, 0.4849221110343933, -0.5106417536735535, 0.9951463341712952)","(0.52379310131073, 0.5933284759521484, 0.15006591379642487, 0.9998670816421509)","(0.4639241397380829, 0.579201340675354, -0.15029549598693848, 0.9998132586479187)","(0.49785327911376953, 0.6915286779403687, 0.10856781899929047, 0.9561616778373718)","(0.41284024715423584, 0.68082594871521, -0.13529621064662933, 0.9966273307800293)","(0.5181248784065247, 0.7929680347442627, 0.12688060104846954, 0.9811579585075378)","(0.272367924451828, 0.7145658135414124, 0.10399573296308517, 0.9899805188179016)","(0.5031893849372864, 0.8100445866584778, 0.11977467685937881, 0.9165179133415222)","(0.24602052569389343, 0.7110270857810974, 0.12189652770757675, 0.909238338470459)","(0.5992172360420227, 0.8095113635063171, 0.00016242444689851254, 0.9820594191551208)","(0.25569233298301697, 0.7691124081611633, 0.008134557865560055, 0.9868071675300598)"
99,"(0.7506090402603149, 0.4552057087421417, -0.21139660477638245, 0.9999995231628418)","(0.7577967047691345, 0.4455587565898895, -0.17246867716312408, 0.9999987483024597)","(0.7569878697395325, 0.44507864117622375, -0.17249011993408203, 0.9999982714653015)","(0.755832850933075, 0.4443993866443634, -0.17242108285427094, 0.9999982118606567)","(0.754551112651825, 0.4434160590171814, -0.22594359517097473, 0.9999992847442627)","(0.7516272068023682, 0.4414643347263336, -0.2259412705898285, 0.9999991655349731)","(0.7477338910102844, 0.43896451592445374, -0.22591295838356018, 0.9999989867210388)","(0.7330631613731384, 0.43766215443611145, 0.02247808501124382, 0.999994695186615)","(0.7181036472320557, 0.42934268712997437, -0.22534725069999695, 0.9999993443489075)","(0.7314119935035706, 0.4596307575702667, -0.13634829223155975, 0.9999983906745911)","(0.7278974056243896, 0.4572247564792633, -0.20838840305805206, 0.9999993443489075)","(0.6598398089408875, 0.4861200451850891, 0.1825464516878128, 0.9999945759773254)","(0.5919166803359985, 0.440375417470932, -0.25576668977737427, 0.9999991059303284)","(0.63337641954422, 0.5452019572257996, 0.19842582941055298, 0.7780411839485168)","(0.45012471079826355, 0.4533340036869049, -0.3617016077041626, 0.9990267157554626)","(0.7384064793586731, 0.566904604434967, -0.034530673176050186, 0.9818705916404724)","(0.34698259830474854, 0.4778536558151245, -0.48637643456459045, 0.9987781047821045)","(0.7694112062454224, 0.5687382221221924, -0.060651667416095734, 0.9692097902297974)","(0.3102255165576935, 0.4806719422340393, -0.5309946537017822, 0.9966644644737244)","(0.7778148055076599, 0.5629780292510986, -0.10429821163415909, 0.9740990996360779)","(0.31197795271873474, 0.4844893217086792, -0.5657992959022522, 0.9969314932823181)","(0.7664988040924072, 0.5618706941604614, -0.06156664341688156, 0.96900475025177)","(0.3268660008907318, 0.4850471615791321, -0.5013425350189209, 0.9952732920646667)","(0.5237206816673279, 0.5933214426040649, 0.1496165543794632, 0.999873161315918)","(0.46371087431907654, 0.5791475176811218, -0.14984489977359772, 0.9998204708099365)","(0.49771514534950256, 0.6915283799171448, 0.10476300120353699, 0.9560944437980652)","(0.41308915615081787, 0.6808521747589111, -0.13746260106563568, 0.9967183470726013)","(0.5179588198661804, 0.7931897044181824, 0.12034036964178085, 0.9810473918914795)","(0.2724156379699707, 0.7145700454711914, 0.09976191818714142, 0.9899208545684814)","(0.5028491020202637, 0.8102366924285889, 0.11291277408599854, 0.91624915599823)","(0.24603970348834991, 0.7110368609428406, 0.11745861172676086, 0.9083479642868042)","(0.5995247960090637, 0.809524416923523, -0.007218759506940842, 0.9819391965866089)","(0.2559536099433899, 0.7691540122032166, 0.0032021699007600546, 0.9867140650749207)"
100,"(0.7502715587615967, 0.4552649259567261, -0.2305200695991516, 0.999999463558197)","(0.7576304078102112, 0.4457322955131531, -0.19050544500350952, 0.9999986290931702)","(0.7568522095680237, 0.445281058549881, -0.19049204885959625, 0.9999980926513672)","(0.7557089924812317, 0.4446103274822235, -0.19041721522808075, 0.9999980330467224)","(0.7543410062789917, 0.4435286223888397, -0.24532347917556763, 0.9999991655349731)","(0.751387357711792, 0.4415396749973297, -0.24532267451286316, 0.9999990463256836)","(0.7474647164344788, 0.43900051712989807, -0.2453094869852066, 0.9999988675117493)","(0.7329750657081604, 0.4378734230995178, 0.01734405942261219, 0.999994158744812)","(0.7180963158607483, 0.4293769896030426, -0.23958222568035126, 0.9999992251396179)","(0.7311515212059021, 0.4597179591655731, -0.1513763964176178, 0.9999982118606567)","(0.7276444435119629, 0.45724213123321533, -0.2259756326675415, 0.9999992251396179)","(0.6597944498062134, 0.4867650866508484, 0.16176731884479523, 0.9999943971633911)","(0.5919026136398315, 0.4406680762767792, -0.2655261754989624, 0.9999990463256836)","(0.6301828622817993, 0.54468834400177, 0.19378556311130524, 0.7728704810142517)","(0.4517021179199219, 0.4537409842014313, -0.3627653121948242, 0.9990037679672241)","(0.7353531718254089, 0.5729087591171265, -0.023714320734143257, 0.9812517762184143)","(0.34791243076324463, 0.4784042239189148, -0.5133720636367798, 0.9987457990646362)","(0.7609617710113525, 0.5766109824180603, -0.04943316429853439, 0.9685347080230713)","(0.31285297870635986, 0.4816981852054596, -0.564561128616333, 0.9966181516647339)","(0.7716859579086304, 0.57266765832901, -0.10107960551977158, 0.9736145734786987)","(0.3161461353302002, 0.4854877293109894, -0.5970777273178101, 0.996889054775238)","(0.761109471321106, 0.5715583562850952, -0.053763873875141144, 0.9684218168258667)","(0.33028948307037354, 0.4861471951007843, -0.5290288925170898, 0.9952056407928467)","(0.5233866572380066, 0.593728244304657, 0.14470359683036804, 0.9998716115951538)","(0.4627557098865509, 0.5791450142860413, -0.14488492906093597, 0.9998188614845276)","(0.4972122013568878, 0.6924363970756531, 0.09798254817724228, 0.9565160274505615)","(0.41309547424316406, 0.6808724999427795, -0.10927195101976395, 0.9967238306999207)","(0.5177976489067078, 0.7931928634643555, 0.12783339619636536, 0.98097825050354)","(0.271737664937973, 0.7150944471359253, 0.11623816192150116, 0.9898734092712402)","(0.5029038190841675, 0.8101888298988342, 0.12154893577098846, 0.9146197438240051)","(0.24442158639431, 0.711738646030426, 0.1292235106229782, 0.9066141247749329)","(0.5987834930419922, 0.8095360398292542, -0.009560155682265759, 0.9817930459976196)","(0.2560429275035858, 0.7698118090629578, 0.009393499232828617, 0.9866018295288086)"
101,"(0.7494219541549683, 0.45533791184425354, -0.23884934186935425, 0.9999994039535522)","(0.7571951746940613, 0.44583532214164734, -0.19870474934577942, 0.9999985098838806)","(0.7564839720726013, 0.445404589176178, -0.19868843257427216, 0.9999979138374329)","(0.7553824186325073, 0.4447394013404846, -0.19861584901809692, 0.9999978542327881)","(0.7537561655044556, 0.4435622990131378, -0.2532740831375122, 0.9999991059303284)","(0.7507079839706421, 0.4415477216243744, -0.253276526927948, 0.999998927116394)","(0.7467131614685059, 0.4390071630477905, -0.2532638609409332, 0.9999987483024597)","(0.7327128648757935, 0.43795135617256165, 0.012831500731408596, 0.999993622303009)","(0.7180326581001282, 0.4293873906135559, -0.2442665845155716, 0.9999991059303284)","(0.730545699596405, 0.45981183648109436, -0.15882104635238647, 0.9999980330467224)","(0.7268881797790527, 0.4572620391845703, -0.23342546820640564, 0.9999991655349731)","(0.6597236394882202, 0.48689863085746765, 0.1562306433916092, 0.9999942183494568)","(0.5918673276901245, 0.4408477544784546, -0.26885539293289185, 0.9999989867210388)","(0.6278742551803589, 0.5436820387840271, 0.19635659456253052, 0.766396701335907)","(0.4522358179092407, 0.4540846645832062, -0.36751610040664673, 0.9989762306213379)","(0.7333628535270691, 0.5745929479598999, -0.01572008989751339, 0.9803769588470459)","(0.3482794463634491, 0.4787652790546417, -0.5151837468147278, 0.9987057447433472)","(0.7563650608062744, 0.5782096982002258, -0.04129203408956528, 0.9674763083457947)","(0.313688725233078, 0.4823649823665619, -0.5661557912826538, 0.9965512156486511)","(0.7678269147872925, 0.57471764087677, -0.09401960670948029, 0.9728116393089294)","(0.31750479340553284, 0.4861317276954651, -0.599147379398346, 0.9968284368515015)","(0.7579768300056458, 0.5737075209617615, -0.04621187597513199, 0.9674574732780457)","(0.3313940465450287, 0.4868159592151642, -0.5309972763061523, 0.9951099753379822)","(0.5229605436325073, 0.5939303040504456, 0.1423068791627884, 0.9998694658279419)","(0.46212640404701233, 0.5791711807250977, -0.14247439801692963, 0.9998161792755127)","(0.4967080056667328, 0.6925999522209167, 0.09098850935697556, 0.956680178642273)","(0.41309061646461487, 0.6809170246124268, -0.10162815451622009, 0.9967009425163269)","(0.5173949003219604, 0.7932475805282593, 0.12343055009841919, 0.9808634519577026)","(0.27100446820259094, 0.7159491181373596, 0.12048474699258804, 0.9898211359977722)","(0.5028941035270691, 0.8102021813392639, 0.11707237362861633, 0.9129634499549866)","(0.24353107810020447, 0.7127063274383545, 0.12947489321231842, 0.9052914381027222)","(0.5975826382637024, 0.8095494508743286, -0.018693629652261734, 0.9816218018531799)","(0.25615552067756653, 0.7703864574432373, 0.010700077749788761, 0.9865153431892395)"
102,"(0.7479860782623291, 0.45543086528778076, -0.2526645362377167, 0.9999994039535522)","(0.7563633322715759, 0.44599536061286926, -0.21157535910606384, 0.9999984502792358)","(0.7557629346847534, 0.44561320543289185, -0.21160998940467834, 0.9999977946281433)","(0.754749059677124, 0.44498589634895325, -0.21156412363052368, 0.9999977350234985)","(0.7526851892471313, 0.44359904527664185, -0.26244425773620605, 0.9999990463256836)","(0.7494998574256897, 0.44155198335647583, -0.2624604403972626, 0.9999988675117493)","(0.7453837990760803, 0.4390069842338562, -0.26243093609809875, 0.9999986886978149)","(0.7323223352432251, 0.4380935728549957, -0.0009584264480508864, 0.9999932646751404)","(0.7177528738975525, 0.4293906092643738, -0.24771229922771454, 0.9999990463256836)","(0.7293802499771118, 0.45991793274879456, -0.1729567050933838, 0.9999979138374329)","(0.7254519462585449, 0.4572766423225403, -0.24168135225772858, 0.9999991059303284)","(0.6597007513046265, 0.4870055913925171, 0.1538228988647461, 0.9999939799308777)","(0.5915707349777222, 0.4408961236476898, -0.2711891233921051, 0.999998927116394)","(0.6259698867797852, 0.5426962971687317, 0.20097088813781738, 0.7610206007957458)","(0.45226386189460754, 0.4542998969554901, -0.3684075176715851, 0.9989524483680725)","(0.7324810028076172, 0.5755344033241272, -0.004778246860951185, 0.9796478748321533)","(0.3483785092830658, 0.47897088527679443, -0.5239064693450928, 0.9986727237701416)","(0.7549570798873901, 0.5790333151817322, -0.02836002968251705, 0.9665477871894836)","(0.31390559673309326, 0.48276862502098083, -0.5757451057434082, 0.9964955449104309)","(0.7669743299484253, 0.5757226943969727, -0.08104462176561356, 0.9721221923828125)","(0.31791752576828003, 0.48653683066368103, -0.60883629322052, 0.9967789649963379)","(0.7569488883018494, 0.5745870471000671, -0.03475312516093254, 0.9666327238082886)","(0.3317115306854248, 0.4871913492679596, -0.5399489402770996, 0.9950332045555115)","(0.5227689743041992, 0.5939624905586243, 0.14242412149906158, 0.9998666048049927)","(0.46169134974479675, 0.5791837573051453, -0.14258594810962677, 0.9998142719268799)","(0.4964714050292969, 0.6925951838493347, 0.08919484913349152, 0.9566132426261902)","(0.4129334092140198, 0.6809521913528442, -0.09961654990911484, 0.996700644493103)","(0.516961395740509, 0.7933105230331421, 0.12021373212337494, 0.9806854724884033)","(0.2697788178920746, 0.7167009711265564, 0.12356481701135635, 0.9898597002029419)","(0.5025118589401245, 0.8102384805679321, 0.11353816092014313, 0.9125315546989441)","(0.2427593469619751, 0.7135992646217346, 0.12984323501586914, 0.9050436019897461)","(0.5975805521011353, 0.8095493912696838, -0.02203659527003765, 0.9814727306365967)","(0.25630807876586914, 0.770697832107544, 0.010442349128425121, 0.986515462398529)"
103,"(0.7424314618110657, 0.4556940793991089, -0.2277899533510208, 0.9999992847442627)","(0.7520310878753662, 0.4461723268032074, -0.18912935256958008, 0.999998152256012)","(0.7516751885414124, 0.4458177983760834, -0.18919089436531067, 0.9999973773956299)","(0.7509888410568237, 0.4451983869075775, -0.18916301429271698, 0.9999973177909851)","(0.748103141784668, 0.4436180889606476, -0.24038450419902802, 0.9999988079071045)","(0.7449191808700562, 0.44156068563461304, -0.24040548503398895, 0.9999986290931702)","(0.7410652041435242, 0.4390081465244293, -0.24038095772266388, 0.9999983906745911)","(0.7295945882797241, 0.4380911588668823, 0.005733426194638014, 0.9999920129776001)","(0.7153688669204712, 0.4293903708457947, -0.23410803079605103, 0.9999987483024597)","(0.7245985865592957, 0.4603646397590637, -0.1532280445098877, 0.9999975562095642)","(0.7199975848197937, 0.4573777914047241, -0.22201262414455414, 0.999998927116394)","(0.6583120822906494, 0.48674601316452026, 0.1603589951992035, 0.999994158744812)","(0.5899468660354614, 0.4407326877117157, -0.2568646967411041, 0.9999988675117493)","(0.6300357580184937, 0.5427862405776978, 0.2617829442024231, 0.7702311277389526)","(0.4509020447731018, 0.45440396666526794, -0.34382519125938416, 0.9989359378814697)","(0.7285130620002747, 0.5815266370773315, 0.10060297697782516, 0.9802751541137695)","(0.34530317783355713, 0.4814744293689728, -0.4866691529750824, 0.9986733198165894)","(0.7504653334617615, 0.5913664102554321, 0.07955097407102585, 0.9672755002975464)","(0.31194034218788147, 0.4845121502876282, -0.5423302054405212, 0.9965223073959351)","(0.7582734823226929, 0.588718831539154, 0.014733524061739445, 0.9727995991706848)","(0.31509533524513245, 0.4877968430519104, -0.57856285572052, 0.9968056082725525)","(0.7485373020172119, 0.5857134461402893, 0.06675709038972855, 0.9674080610275269)","(0.3284108340740204, 0.48882725834846497, -0.5043582916259766, 0.9950700402259827)","(0.5206014513969421, 0.5939358472824097, 0.14169536530971527, 0.9998592138290405)","(0.46068161725997925, 0.5791741013526917, -0.14182989299297333, 0.9998032450675964)","(0.4951462149620056, 0.692920982837677, 0.08142005652189255, 0.9567142724990845)","(0.41233739256858826, 0.6809591054916382, -0.12178727984428406, 0.9966363310813904)","(0.5163949728012085, 0.7933129072189331, 0.11323120445013046, 0.9803641438484192)","(0.2688201665878296, 0.7170323133468628, 0.08621563017368317, 0.9897133708000183)","(0.5023418068885803, 0.8101898431777954, 0.10640479624271393, 0.9105571508407593)","(0.24187670648097992, 0.7141888737678528, 0.09785222262144089, 0.9037086963653564)","(0.5936948657035828, 0.8095946907997131, -0.030537031590938568, 0.9810523390769958)","(0.2563106119632721, 0.7711617350578308, -0.041631463915109634, 0.9862794280052185)"
